,id,price,price/m,rooms,city,district,street,status,meters,apartment_floors,bathroom,terrace,market,building,material,year,adv_date,upvotes,floor,building_floors,bedroom,balcony
34,34,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
35,35,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
36,36,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
37,37,439000,10183,2,Gdańsk,Łostowice,Poziomkowa,,43.11,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2023,2023-08-03,1,0,3,1,Nie
38,38,379343,14675,1,Gdańsk,Śródmieście,Mostek,Do wykończenia,25.85,1,1,Nie,Pierwotny,APARTAMENTOWIEC,PUSTAK,2024,2024-03-27,0,3,4,1,Nie
39,39,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
40,40,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
41,41,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
42,42,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
43,43,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
44,44,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
45,45,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
46,46,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
47,47,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
48,48,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
49,49,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
50,50,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
52,52,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
53,53,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
54,54,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
55,55,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
56,56,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
57,57,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
58,58,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
59,59,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
60,60,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
61,61,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
62,62,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
63,63,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
64,64,439000,10183,2,Gdańsk,Łostowice,Poziomkowa,,43.11,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2023,2023-08-03,1,0,3,1,Nie
65,65,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
66,66,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
67,67,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
68,68,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
69,69,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
70,70,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
71,71,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
72,72,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
73,73,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
74,74,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
75,75,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
76,76,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
77,77,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
78,78,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
79,79,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
80,80,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
81,81,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
82,82,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
83,83,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
84,84,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
85,85,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
86,86,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
87,87,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
88,88,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
89,89,2550000,31086,3,Sopot,Grunwaldzka,,,82.03,2,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,2004,2024-06-03,0,2,3,2,Nie
90,90,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
91,91,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
92,92,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
93,93,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
94,94,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
95,95,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
96,96,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
97,97,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
98,98,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
99,99,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
100,100,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
101,101,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
102,102,890000,9900,4,Gdynia,Dąbrowa,Oliwkowa,,89.9,2,1,Nie,Wtórny,Blok Mieszkalny,Konstrukcja mieszana,2001,2024-05-21,25,3,3,3,Tak
103,103,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
104,104,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
105,105,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
106,106,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
107,107,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
108,108,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
109,109,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
110,110,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
111,111,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
112,112,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
113,113,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
114,114,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
115,115,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
116,116,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
117,117,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
118,118,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
119,119,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
120,120,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
121,121,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
122,122,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
123,123,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
124,124,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
125,125,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
126,126,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
127,127,890000,9900,4,Gdynia,Dąbrowa,Oliwkowa,,89.9,2,1,Nie,Wtórny,Blok Mieszkalny,Konstrukcja mieszana,2001,2024-05-21,25,3,3,3,Tak
128,128,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
129,129,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
130,130,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
131,131,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
132,132,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
133,133,489000,16300,1,Gdańsk,Morena,Magellana,,30.0,1,1,Nie,Wtórny,Apartamentowiec,Pustak,2013,2024-02-27,217,1,8,1,Nie
134,134,699840,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,64.8,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,216,3,3,1,Nie
135,135,748548,10800,3,Gdańsk,Ujeścisko-Łostowice,ul. Tadeusza Bramińskiego,,69.31,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-01-04,203,3,3,1,Nie
136,136,589000,14125,2,Gdańsk,Przymorze,Piastowska,,41.7,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1972,2024-06-11,203,4,4,1,Nie
137,137,1023360,26000,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,39.36,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,203,3,3,1,Nie
138,138,949620,25500,1,Gdańsk,Śródmieście,Kamienna Grobla 28/29,,37.24,1,1,Nie,Pierwotny,Blok Mieszkalny,Wielka płyta,2024,2024-05-02,202,0,3,1,Nie
139,139,595000,13222,2,Gdańsk,Przymorze,Kołobrzeska,,45.0,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1980,2024-04-06,202,3,4,1,Tak
140,140,360185,4002,4,Gdańsk,Łostowice,Kryształowa,Do wykończenia,90.0,2,2,Tak,Pierwotny,Dom wielorodzinny,Pustak,2025,2024-03-21,766,2,2,1,Nie
141,141,2850000,22266,4,Sopot,Dolny,Grunwaldzka,,128.0,1,1,Nie,Wtórny,Kamienica,Cegła,1920,2023-09-18,383,1,3,5,Nie
142,142,669000,16405,2,Gdynia,Redłowo,Bohaterów Starówki Warszawskiej,,40.78,1,1,Nie,Wtórny,Blok Mieszkalny,Wielka płyta,1970,2024-02-27,309,3,9,1,Tak
143,143,414000,11948,2,Gdańsk,Jasień,,Do wykończenia,34.65,1,1,Nie,Pierwotny,Blok,Wielka płyta,2023,2024-06-12,233,1,4,1,Tak
144,144,537365,8550,4,Gdańsk,Ujeścisko - Łostowice,,Do wykończenia,62.85,1,2,Nie,Pierwotny,Blok,Cegła,2024,2024-06-03,230,1,3,1,Tak
